"Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","runtime","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"BC-11-2021","BC-11-2021","BC-11-21","BC-L-11","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",1.852,42.7,NA,3.8,NA,12.5,NA,6.5,29,"M",0.072,"1-A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.678,"1-A8","N","Y",NA,"Y","Y",0.038,7.6,8.4,6.8,7.8,2.8,4.2,2,1.8,NA,"9/24/2021",100.8,"9/29/2021",29.6,0.7063,0.2937,NA,"10/1/2021",2,0.3795,955.4635,26.3579,7.740018254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-12-2021","BC-12-2021","BC-12-21","BC-L-12","6/2/2021 (BC)","6/23/2021","Early",60.73831,-144.5687,"BC",2.106,45.3,NA,3.5,NA,12.5,NA,7,30.5,"F",0.148,"1-B6",10,0.3742,NA,NA,NA,NA,4.5,NA,NA,1.852,"1-B2","N","Y",5,"Y","Y",0.058,15.5,12.4,12,9.9,5.5,5.5,3.9,2.6,NA,"9/24/2021",97,"9/29/2021",34.1,0.6485,0.3515,NA,"10/1/2021",4,0.4261,955.4635,27.6429,9.717761753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-13-2021","BC-13-2021","BC-13-21","BC-L-13","6/2/2021 (BC)","6/23/2021","Early",60.73831,-144.5687,"BC",1.92,43.8,NA,4.5,NA,11.9,NA,6.3,28.6,"F",0.176,"1-C2",10,0.5919,NA,NA,NA,NA,6,NA,NA,1.654,"1-B6","N","Y",5,"Y","Y",0.094,5.4,4.7,4.5,2.9,1.5,2.6,1.3,1.6,NA,"9/26/2021",81.8,"9/30/2021",28.3,0.654,0.346,NA,"10/1/2021",2,0.2672,955.4635,26.5696,9.192172127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-14-2021","BC-14-2021","BC-14-21","BC-L-14","6/2/2021 (BC)","6/23/2021","Early",60.73831,-144.5687,"BC",1.206,38.8,NA,2.5,NA,10.5,NA,6,25,"F",0.092,"1-B4",10,0.4723,NA,NA,NA,NA,5,NA,NA,1.052,"1-A12","N","Y",5,"Y","Y",0.036,10.7,8.2,7.9,8,4.8,2.5,2,2.3,NA,"9/26/2021",88.8,"9/30/2021",28.6,0.6779,0.3221,NA,"10/1/2021",4,0.2772,923.3249,25.4265,8.189165541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-15-2021","BC-15-2021","BC-15-21","BC-L-15","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",2.594,47.5,NA,4.4,NA,12.9,NA,7.4,33,"M",0.058,"1-A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.432,"1-A2","N","Y",15,"Y","Y",0.03,10.8,11.7,13.4,11.9,7.2,8.8,1.6,3.9,NA,"9/26/2021",142.4,"10/1/2021",50.5,0.6454,0.3546,NA,"10/5/2021",2,0.4605,955.4635,26.8631,9.526590941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-16-2021","BC-16-2021","BC-16-21","BC-L-16","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",1.898,43.7,NA,4.3,NA,11.5,NA,6.6,29.2,"M",0.038,"1-B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.756,"1-A9","N","Y",5,"Y","Y",0.016,9.5,7.1,9.3,7.4,5,3.1,3,1.8,NA,"9/26/2021",107.4,"9/30/2021",36.5,0.6601,0.3399,NA,"10/1/2021",2,0.3388,923.3249,24.3757,8.284106611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-17-2021","BC-17-2021","BC-17-21","BC-L-17","6/2/2021 (BC)","6/23/2021","Early",60.73831,-144.5687,"BC",2.114,46.8,NA,3.8,NA,11.7,NA,6.7,29.8,"F",0.124,"1-B5",10,0.2936,NA,NA,NA,NA,4,NA,NA,1.898,"1-B1","N","Y",5,"Y","Y",0.054,16.5,11.7,10.5,8.5,4.1,4.7,3,3.8,NA,"9/26/2021",136.2,"10/1/2021",47.7,0.6498,0.3502,NA,"10/5/2021",4,0.2614,923.3249,26.1097,9.144146035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-18-2021","BC-18-2021","BC-18-21","BC-L-18","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",2.974,50.2,NA,5.7,NA,14.1,NA,7,35,"M",0.108,"1-A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.76,"1-A6","N","Y",NA,"Y","Y",0.052,7,7.3,5.7,4.5,4.2,3.4,1.7,1.8,NA,"9/26/2021",80.9,"9/30/2021",27.1,0.665,0.335,NA,"10/4/2021",2,0.3335,955.4635,24.9941,8.372560074,4,0.3421,923.3249,25.7522,8.626509518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-19-2021","BC-19-2021","BC-19-21","BC-L-19","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",1.792,43.2,NA,4.1,NA,11.6,NA,6.4,29,"M",0.07,"1-A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.652,"1-A5","N","Y",5,"Y","Y",0.032,6.6,6.5,7.9,9.5,2.4,4.2,1.7,2,NA,"10/4/2021",107.9,"10/7/2021",33.4,0.6905,0.3095,NA,"10/8/2021",4,0.4112,923.3249,26.3708,8.162972382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-20-2021","BC-20-2021","BC-20-21","BC-L-20","6/2/2021 (BC)","6/11/2021","Early",60.73831,-144.5687,"BC",3.154,50.5,NA,4.7,NA,15.1,NA,7.7,37.2,"M",0.074,"1-A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.932,"1-A7","N","Y",5,"Y","Y",0.034,10.3,9.9,14.1,11.6,9.6,7.6,6.9,4.7,NA,"9/27/2021",145,"10/4/2021",48,0.669,0.331,NA,"10/5/2021",2,0.2546,955.4635,27.0064,8.940049655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-21-2021","BC-21-2021","BC-21-21","BC-L-21","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.882,44.6,NA,3.9,NA,11.6,NA,7.2,28.5,"F",0.166,"1-D1",10,0.6253,NA,NA,NA,NA,4.1,NA,NA,1.642,"1-C1","N","Y",5,"Y","Y",0.066,6.1,7.8,4.6,4.7,1.6,1.7,1,1.2,NA,"9/27/2021",122,"10/1/2021",36.1,0.7041,0.2959,NA,"10/5/2021",4,0.3192,923.3249,26.0172,7.698532131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-22-2021","BC-22-2021","BC-22-21","BC-L-22","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.308,46.1,NA,5,NA,12.8,NA,7.6,31.6,"M",0.092,"1-E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.128,"1-C10","N","Y",5,"Y","Y",0.05,8,10.3,6.8,10.1,4.6,5,2.3,2.5,NA,"9/27/2021",113,"10/1/2021",39,0.6549,0.3451,NA,"10/5/2021",2,0.3678,955.4635,25.918,8.945150442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-23-2021","BC-23-2021","BC-23-21","BC-L-23","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.256,44.2,NA,4.5,NA,13.2,NA,7.5,32.8,"M",0.094,"1-E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.084,"1-C12","N","Y",5,"Y","Y",0.048,6,7,7.2,6.4,2.6,1.9,2.9,1.3,NA,"9/27/2021",102,"10/4/2021",32,0.6863,0.3137,NA,"10/5/2021",4,0.3031,923.3249,26.0289,8.165929412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-24-2021","BC-24-2021","BC-24-21","BC-L-24","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",3.492,51.1,NA,5.6,NA,14.6,NA,8.1,36.9,"M",0.074,"1-D7",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.276,"1-C7","N","Y",5,"Y","Y",0.038,8.5,9.5,6.5,8.8,4.4,4.2,2.9,2.1,NA,"9/27/2021",115,"10/4/2021",38.8,0.6626,0.3374,NA,"10/5/2021",2,0.5057,955.4635,28.4147,9.586872696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-25-2021","BC-25-2021","BC-25-21","BC-L-25","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.022,46.2,NA,4.8,NA,12.2,NA,6.7,30,"M",0.044,"1-E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.894,"1-D4","N","Y",5,"Y","Y",0.022,8.6,10.1,8.5,12.2,4.5,4.5,2.7,4.4,NA,"9/27/2021",107,"10/4/2021",36.8,0.6561,0.3439,NA,"10/5/2021",4,0.3928,923.3249,26.7186,9.189200748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-26-2021","BC-26-2021","BC-26-21","BC-L-26","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",1.396,37.4,NA,3.6,NA,11.4,NA,6.4,27.3,"M",0.086,"1-E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.262,"1-D2","N","Y",5,"Y","Y",0.044,6,5.9,3.9,4.7,1.8,1.9,1.1,2,NA,"9/27/2021",116,"10/4/2021",34.2,0.7052,0.2948,NA,"10/5/2021",2,0.4059,955.4635,26.1898,7.721475517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-27-2021","BC-27-2021","BC-27-21","BC-L-27","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.546,40.1,NA,3,NA,10.5,NA,7.2,26.9,"F",0.194,"1-C5",10,0.859,NA,NA,NA,NA,5.5,NA,NA,1.28,"1-B9","N","Y",5,"Y","Y",0.09,4.1,5.3,4.5,5.1,4.2,3.2,1.2,1.4,NA,"9/27/2021",124,"10/1/2021",32.9,0.7347,0.2653,NA,"10/5/2021",4,0.3167,923.3249,25.0733,6.652512661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-28-2021","BC-28-2021","BC-28-21","BC-L-28","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",1.964,44.9,NA,4.2,NA,11.7,NA,7.2,29.7,"M",0.066,"1-E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.822,"1-C11","N","Y",5,"Y","Y",0.032,9,8,6.4,7.2,2.8,2.7,2.2,2.2,NA,"9/27/2021",134,"10/4/2021",45.9,0.6575,0.3425,NA,"10/5/2021",2,0.3182,955.4635,26.7156,9.151089851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-29-2021","BC-29-2021","BC-29-21","BC-L-29","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",2.126,45.5,NA,3.5,NA,11.8,NA,6.7,30,"F",0.11,"1-D4",10,0.401,NA,NA,NA,NA,4.3,NA,NA,1.918,"1-C4","N","Y",5,"Y","Y",0.048,10.4,11.7,8.4,8.5,4.3,4.3,3.6,4.1,NA,"9/27/2021",119,"10/1/2021",43.1,0.6378,0.3622,NA,"10/5/2021",4,0.3067,923.3249,24.0307,8.70355605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-30-2021","BC-30-2021","BC-30-21","BC-L-30","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",2.546,49,NA,4.1,NA,13.3,NA,7.9,32.5,"F",0.06,"1-C8",10,0.5788,NA,NA,NA,NA,3.9,NA,NA,2.352,"1-B12","N","Y",5,"Y","Y",0.06,15.3,15.7,12.1,13.2,8.9,7.1,4.5,3.4,NA,"9/27/2021",101,"10/4/2021",38.2,0.6218,0.3782,NA,"10/5/2021",2,0.2617,955.4635,28.2575,10.6874901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-31-2021","BC-31-2021","BC-31-21","BC-L-31","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",2.308,48.5,NA,4,NA,12.8,NA,7.1,32,"F",0.094,"1-C7",10,0.4008,NA,NA,NA,NA,3.2,NA,NA,2.134,"1-B11","N","Y",5,"Y","Y",0.046,20.6,19,15.8,15.5,9.7,6.8,4.5,3.4,NA,"9/27/2021",122,"10/1/2021",43.2,0.6459,0.3541,NA,"10/5/2021",4,0.3024,923.3249,26.4667,9.371815082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-32-2021","BC-32-2021","BC-32-21","BC-L-32","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.934,44,NA,4,NA,12.2,NA,7.3,29.8,"F",0.074,"1-C6",10,0.4018,NA,NA,NA,NA,3.6,NA,NA,1.79,"1-B10","N","Y",5,"Y","Y",0.034,16.4,17.4,13,13.1,6.3,6.8,4.1,3.5,NA,"9/27/2021",104,"10/1/2021",35.3,0.6606,0.3394,NA,"10/5/2021",2,0.2865,955.4635,26.4787,8.987481827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-33-2021","BC-33-2021","BC-33-21","BC-L-33","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",2.418,48.8,NA,3.5,NA,12.9,NA,7.1,31.3,"F",0.112,"1-D2",10,0.3886,NA,NA,NA,NA,3.7,NA,NA,2.204,"1-C2","N","Y",5,"Y","Y",0.056,15.3,15.5,13.4,13.1,9,7.6,4.9,5.1,NA,"9/27/2021",92,"10/1/2021",32.1,0.6511,0.3489,NA,"10/5/2021",4,0.4372,923.3249,26.8033,9.352020978,2,0.3798,955.4635,27.7401,9.678882717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-34-2021","BC-34-2021","BC-34-21","BC-L-34","6/18/2021 (BC)","6/24/2021","Middle",60.73831,-144.5687,"BC",1.906,44.5,NA,3.5,NA,11.2,NA,7.5,29,"F",0.188,"1-D5",10,0.7367,NA,NA,NA,NA,4.7,NA,NA,1.63,"1-C5","N","Y",5,"Y","Y",0.096,10.8,9.3,6.7,8,2.8,3.4,1.3,2.4,NA,"9/27/2021",103,"10/1/2021",34.8,0.6621,0.3379,NA,"10/5/2021",4,0.2759,923.3249,26.8691,9.078103689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-35-2021","BC-35-2021","BC-35-21","BC-L-35","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.3,48.1,NA,4.4,NA,12.7,NA,7.4,31.6,"M",0.056,"1-E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,"1-C9","N","Y",5,"Y","Y",0.028,9.3,9.5,7,7.3,2.9,3,1.6,1.4,NA,"9/27/2021",106,"10/1/2021",36.9,0.6519,0.3481,NA,"10/5/2021",2,0.271,955.4635,27.4529,9.556717075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-36-2021","BC-36-2021","BC-36-21","BC-L-36","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.016,43.9,NA,4.4,NA,12.4,NA,7.1,30.5,"M",0.068,"1-D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.864,"1-C8","N","Y",5,"Y","Y",0.032,8,7.9,5.3,6.1,2.2,2,1.8,1.7,NA,"9/27/2021",152,"10/4/2021",48.7,0.6796,0.3204,NA,"10/5/2021",2,0.3106,955.4635,26.3307,8.436217697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-37-2021","BC-37-2021","BC-37-21","BC-L-37","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2.668,48.8,NA,4.3,NA,13.7,NA,6.6,33,"M",0.078,"1-E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.468,"1-D1","N","Y",5,"Y","Y",0.036,4.9,5.3,4.3,5.1,1.8,1.7,1.3,1.3,NA,"9/27/2021",115,"10/4/2021",35.9,0.6878,0.3122,NA,"10/5/2021",4,0.2958,923.3249,25.2136,7.871028174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BC-38-2021","BC-38-2021","BC-38-21","BC-L-38","6/18/2021 (BC)","6/25/2021","Middle",60.73831,-144.5687,"BC",2,44,NA,4.1,NA,12.5,NA,7.5,30.6,"M",0.086,"1-E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.846,"1-D3","N","Y",5,"Y","Y",0.046,3.7,4,4.1,3.8,1.6,1.4,1.2,1,NA,"10/4/2021",118,"10/8/2021",34.7,0.7059,0.2941,NA,"10/8/2021",2,0.308,955.4635,26.0478,7.659819153,4,0.2924,923.3249,25.1529,7.396657881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
